ID,BETA_1,BETA_2,BETA_3,BETA_4,BETA_5,BETA_6,BETA_7,BETA_8,BETA_9,BETA_10,Altruism_1,Altruism_2,Altruism_3,Altruism_4,Altruism_5,Altruism_6,Altruism_7,Altruism_8,Altruism_9,Altruism_10,Altruism_11,Altruism_12,Altruism_13,Altruism_14,Altruism_15,Altruism_16,Altruism_17,Altruism_18,Altruism_19,Altruism_20,give_real,give_hypo
20,6,7,4,4,7,6,7,4,4,4,1,4,3,3,3,4,3,1,1,4,3,1,2,1,1,3,2,3,3,3,0,10
21,5,6,3,2,6,5,6,2,3,3,1,5,1,3,3,3,1,1,1,5,5,1,1,1,1,1,1,1,4,1,10,5
22,7,7,1,1,7,7,7,2,2,2,4,4,3,4,4,5,5,4,4,5,5,3,4,4,3,4,3,4,5,5,20,20
23,3,3,5,6,6,6,3,2,4,4,2,3,3,3,3,3,3,2,3,4,4,1,2,2,3,3,3,2,2,3,10,10
24,7,7,1,1,7,7,7,1,1,1,2,4,4,4,3,5,5,2,3,4,4,3,3,3,1,4,4,3,4,3,10,0
25,2,3,6,5,3,2,3,6,7,6,1,3,3,1,1,3,1,1,3,5,5,1,3,1,1,1,1,1,1,1,10,0
26,5,4,3,5,5,5,4,3,4,5,1,3,2,2,2,3,3,2,3,3,3,4,3,2,3,2,2,2,3,4,10,0
27,4,4,5,4,4,4,4,5,5,4,2,4,3,4,4,4,2,3,3,3,4,1,3,3,3,3,4,2,4,3,10,20
28,7,7,1,7,7,7,7,1,1,1,1,3,3,4,3,4,1,1,1,4,3,1,3,3,1,1,3,1,3,3,10,20
29,7,7,3,3,7,7,6,2,2,2,1,4,5,3,3,5,5,1,4,5,4,1,5,4,4,4,5,3,5,5,20,10
30,5,6,5,4,5,6,6,3,2,2,3,4,3,3,3,2,2,1,1,3,3,1,3,1,1,3,4,4,3,2,0,5
31,4,5,4,3,5,5,5,3,3,5,1,4,3,3,2,4,2,1,1,4,3,1,3,3,1,4,3,2,2,1,0,0
32,6,7,6,5,6,6,6,4,4,4,1,4,4,5,4,4,3,3,3,4,4,1,3,3,4,3,3,3,4,4,10,20
33,6,6,4,3,6,6,5,4,4,3,3,3,2,2,2,3,3,1,3,3,3,1,2,2,1,3,1,1,1,1,15,20
34,5,6,4,4,6,6,6,3,3,4,1,4,1,2,3,1,1,2,1,3,3,1,1,1,1,1,1,1,4,1,0,0
35,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,10
36,7,7,1,2,6,6,7,2,2,2,3,4,3,5,4,5,5,5,4,5,5,5,5,3,5,5,4,5,5,5,10,5
37,5,5,4,4,5,5,5,4,4,4,2,4,3,3,3,4,3,2,3,3,3,1,3,3,3,3,1,2,2,2,10,0
38,6,6,3,3,6,6,6,2,2,5,3,4,4,3,3,4,4,2,3,3,4,1,3,3,2,3,4,3,3,3,10,10
39,6,7,3,5,7,6,5,3,1,2,3,3,3,3,3,5,3,1,3,4,4,3,3,1,4,4,2,4,3,4,10,20
40,1,1,7,7,1,1,1,7,7,7,2,3,3,3,3,3,3,1,3,3,4,3,1,3,1,3,1,3,1,3,0,0
41,5,7,2,2,7,7,7,2,2,2,1,4,3,4,4,4,4,1,3,4,4,1,4,2,3,2,3,3,1,4,10,0
42,4,3,4,4,3,3,3,4,4,4,3,3,3,2,2,5,3,3,3,3,3,2,2,1,2,1,1,3,1,1,10,0
43,5,5,3,5,5,5,5,3,3,3,1,3,3,3,3,3,2,3,2,3,3,3,1,1,1,3,1,1,3,3,10,0
44,7,7,1,1,7,7,7,1,1,1,3,3,3,4,4,5,2,1,1,4,4,1,3,1,3,2,2,1,1,2,3,0
45,5,5,3,3,6,6,6,2,2,3,1,2,2,3,1,4,3,1,1,3,3,1,1,1,3,1,1,3,3,1,10,0
46,5,5,4,4,5,5,6,4,5,5,3,4,3,4,3,3,3,2,4,4,4,1,5,4,3,3,3,4,4,3,0,2
47,7,7,2,2,7,7,7,1,2,1,1,5,3,4,3,3,5,1,3,3,3,1,2,3,2,3,4,2,3,3,10,5
48,7,7,1,1,7,7,7,1,1,1,2,4,2,4,1,5,4,1,1,5,5,1,3,1,4,2,1,1,2,2,20,20
49,6,7,6,2,7,6,6,2,2,1,1,3,3,4,3,3,3,2,2,3,3,3,2,2,1,3,2,1,2,2,5,5
50,6,7,3,2,6,5,7,1,2,2,1,3,3,4,1,3,3,2,1,3,3,1,3,1,1,1,3,2,3,2,10,20
51,7,7,1,1,7,7,7,1,1,1,1,5,1,4,5,4,5,2,1,5,5,3,1,1,2,3,1,1,1,3,10,0
52,7,7,4,4,7,7,7,4,4,4,2,3,3,3,3,3,1,1,3,3,3,1,3,3,3,3,3,1,3,3,10,0
53,6,6,2,4,6,6,5,6,6,5,1,2,1,5,1,4,1,3,1,4,1,1,1,1,1,1,1,1,1,1,0,3
54,4,4,3,5,4,3,4,4,4,5,2,3,1,2,2,2,1,2,2,2,2,1,2,2,1,3,2,2,2,3,0,0
55,5,6,2,5,5,6,6,4,2,4,3,3,3,4,3,3,4,1,3,3,3,2,3,3,3,3,1,3,3,3,5,5
56,6,6,7,6,6,6,6,2,5,5,2,3,1,3,1,3,3,1,2,4,2,1,4,2,1,1,1,3,2,1,10,0
57,7,7,7,1,7,7,7,1,1,1,1,4,1,3,3,3,1,4,1,4,4,1,3,1,1,4,1,4,1,1,10,0
58,7,7,1,1,7,7,7,1,1,1,1,3,3,3,3,3,2,1,2,3,3,1,3,1,2,3,1,2,3,1,10,5
59,7,6,1,5,7,7,7,4,5,5,3,4,4,5,5,5,5,5,3,4,5,1,5,4,5,4,5,3,3,4,10,20
60,2,3,2,4,5,3,3,5,4,4,2,3,2,5,3,3,3,1,3,4,3,1,2,2,3,3,3,3,3,3,10,0
61,6,5,2,4,6,7,5,2,4,5,2,3,2,3,1,3,1,1,3,3,4,1,1,1,2,3,2,1,1,3,0,5
62,6,7,1,4,5,4,3,5,7,3,1,3,4,3,3,3,4,4,2,2,3,1,1,2,2,5,1,1,1,2,0,0
63,6,7,2,2,7,6,4,2,2,3,2,3,1,5,1,5,3,1,3,5,5,1,3,1,1,3,1,1,3,2,10,15
64,6,6,3,4,6,5,5,6,3,5,1,4,3,3,3,3,3,1,3,4,3,1,1,3,1,3,3,3,4,3,8,10
65,7,7,1,1,7,7,7,5,1,1,1,3,3,3,3,3,4,1,1,3,3,1,1,1,1,3,1,1,1,3,10,1
66,6,7,4,5,6,5,6,4,2,3,2,4,3,3,1,5,3,3,1,4,3,1,5,1,1,2,1,1,2,4,10,0
67,5,6,3,2,6,7,6,3,2,3,3,4,3,5,4,4,3,1,3,3,3,2,3,3,3,4,1,3,3,4,20,5
68,2,7,6,2,6,6,6,2,2,2,3,3,3,3,3,2,2,2,3,3,3,1,1,1,1,1,1,1,3,1,0,0
69,5,6,5,6,5,5,5,5,3,5,1,4,3,3,3,3,1,3,3,3,3,3,3,1,2,2,1,3,3,3,0,1
70,6,7,2,2,7,6,6,1,1,1,3,3,3,4,3,4,4,1,2,5,5,1,3,3,1,3,3,3,4,4,5,5
71,2,6,6,6,3,2,2,6,6,6,1,3,1,3,3,3,3,3,1,4,4,1,4,2,1,2,3,1,1,1,0,0
72,3,3,5,5,3,3,3,5,3,5,2,4,1,3,2,3,1,2,3,3,3,1,3,2,2,3,1,1,1,1,20,10
73,7,7,1,1,7,7,7,1,1,1,3,3,3,4,3,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,10,2
74,6,6,5,4,6,6,6,2,4,4,3,4,3,4,3,3,3,3,3,3,3,1,3,1,3,3,3,3,4,2,10,10
75,4,7,4,4,7,5,7,1,4,4,1,3,3,3,3,3,1,2,1,3,3,3,3,3,3,1,3,1,1,3,10,0
76,6,7,3,3,6,5,6,3,3,3,1,3,2,2,1,2,1,1,1,3,3,1,3,1,1,3,1,1,3,3,5,0
77,6,6,2,2,6,6,6,2,2,2,1,5,3,3,4,3,2,1,3,5,4,1,3,1,1,3,1,4,5,4,10,5
78,6,7,6,6,7,6,6,6,7,6,4,4,4,4,5,4,4,4,4,5,4,1,4,4,4,4,5,4,4,4,8,1
79,6,6,5,5,6,5,6,5,5,5,3,3,3,3,2,3,1,1,2,3,3,1,3,1,1,3,1,1,1,3,10,0
80,7,7,1,1,7,7,7,1,1,1,2,2,1,4,4,4,1,1,1,2,4,1,2,1,1,1,2,1,1,1,10,10
81,3,4,3,3,5,6,4,3,2,3,3,3,1,3,1,3,3,1,1,3,3,1,1,3,1,3,1,1,1,3,0,0
82,6,6,6,6,6,6,6,6,6,6,2,3,4,4,3,3,3,3,4,3,3,3,2,2,1,2,2,2,3,3,10,0
83,5,6,4,4,4,5,5,1,4,5,4,4,3,4,3,4,3,1,3,5,3,1,4,4,2,3,2,2,2,1,20,10
84,6,6,4,4,6,6,6,4,4,4,3,4,1,3,3,4,1,2,3,3,3,1,3,1,1,1,1,3,4,4,10,0
85,6,6,2,2,6,7,6,1,1,6,3,3,3,4,1,5,3,4,4,4,5,1,3,2,4,4,3,4,4,5,20,10
86,6,6,2,2,6,6,6,3,2,2,3,3,2,4,3,4,1,1,2,4,3,2,3,1,3,2,1,2,3,1,20,5
87,5,6,4,5,7,6,5,3,5,4,1,4,4,3,3,5,3,2,2,5,3,2,3,3,1,3,2,3,3,3,0,0
88,7,6,3,3,6,6,7,2,2,4,1,4,4,3,3,4,3,4,3,4,3,3,3,3,1,3,3,3,4,4,10,10
89,7,7,2,2,7,7,7,2,2,2,1,4,3,4,3,4,2,2,2,2,4,1,1,1,3,3,2,1,2,3,15,10
90,7,6,1,1,6,6,6,1,1,2,2,4,4,4,2,4,2,3,4,5,5,3,3,4,5,5,4,2,4,3,10,10
91,7,7,1,1,7,7,7,1,1,1,3,4,3,4,3,4,4,1,4,4,4,4,3,3,1,4,1,4,4,3,10,1
92,7,7,1,1,7,7,7,1,1,1,3,4,4,3,3,5,4,1,4,5,5,3,5,4,3,5,4,5,5,5,10,10
93,5,5,3,5,6,6,6,3,4,5,2,4,4,4,4,5,3,3,4,5,5,1,3,4,3,3,3,2,3,3,5,5
94,7,7,5,5,7,7,7,5,5,5,1,4,1,3,1,4,3,1,1,5,4,1,4,1,4,3,3,1,1,3,7,0
95,6,6,3,2,6,6,6,2,3,3,1,3,1,3,2,2,1,1,2,3,3,1,1,1,1,3,1,3,3,2,5,0
96,7,7,1,1,7,7,7,1,1,1,1,3,2,5,1,5,5,1,1,5,5,1,5,1,1,5,5,1,1,5,0,0
97,3,5,2,6,6,4,4,3,6,4,3,2,5,5,4,3,3,3,3,3,3,4,4,5,3,4,4,3,2,3,0,0
98,4,3,2,6,3,4,7,7,5,5,3,2,2,2,2,3,2,2,4,4,3,4,2,2,3,3,2,4,4,5,0,0
99,7,6,3,3,6,6,6,1,2,2,3,3,3,3,4,3,1,3,3,4,4,3,3,3,1,3,3,1,3,3,10,0
100,6,6,4,5,6,6,7,4,3,4,1,1,1,3,4,3,2,1,2,2,2,2,1,1,1,1,1,1,1,1,8,0
101,6,6,2,2,6,6,6,2,2,3,1,4,4,4,4,4,1,4,3,4,4,1,3,2,1,1,1,1,3,1,10,20
102,5,6,3,3,6,5,5,3,3,3,1,3,3,3,3,3,3,1,1,4,3,2,1,1,3,1,3,1,2,3,3,0
103,5,5,6,6,5,5,5,6,6,7,1,3,4,4,4,3,3,1,1,3,3,1,1,1,1,2,1,1,3,3,5,1
104,4,5,3,3,6,5,5,2,2,3,2,3,3,3,3,4,3,2,3,3,3,1,3,2,1,2,1,3,4,4,20,20
105,6,3,4,5,5,4,6,5,5,2,3,3,3,2,3,2,2,2,2,1,2,3,2,2,2,1,2,2,3,3,20,18
106,5,5,3,3,5,5,5,3,3,3,3,3,3,5,3,4,4,1,1,4,3,1,3,3,1,3,1,1,1,3,0,0
107,6,6,2,3,6,6,6,2,2,2,3,4,4,4,3,3,3,1,3,4,3,3,4,2,3,4,2,3,4,3,5,5
108,3,3,5,5,3,4,2,5,2,5,1,3,3,4,4,4,4,1,2,4,4,1,3,2,4,1,2,1,4,4,5,0
109,6,6,5,5,6,6,6,3,3,3,3,4,3,4,3,4,4,2,3,4,4,3,3,2,3,3,3,3,2,3,20,20
110,5,6,2,3,5,6,5,3,2,3,2,4,2,5,3,5,5,5,4,5,5,1,1,2,4,2,1,5,5,4,0,3
111,4,4,5,4,4,4,2,4,4,5,2,3,2,3,3,4,1,1,3,3,3,1,3,1,4,3,2,3,4,3,0,0
112,6,6,3,3,6,6,6,3,3,3,3,3,2,2,1,2,2,1,2,4,3,3,1,3,1,3,1,1,1,3,0,0
113,3,3,5,5,3,3,3,5,5,5,2,3,2,3,2,3,3,3,1,3,3,1,1,1,1,1,1,1,1,1,0,0
114,7,6,1,1,7,7,7,1,1,1,3,2,2,5,1,4,4,4,2,3,3,1,1,3,1,4,4,4,1,1,10,0
115,2,2,6,6,2,2,2,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
116,5,6,4,5,6,5,4,4,5,6,1,3,3,3,3,3,4,2,3,3,3,1,3,3,1,4,1,1,1,1,0,0
117,1,7,7,1,7,7,7,1,1,7,1,3,3,3,3,3,4,3,3,4,4,4,2,1,1,1,1,2,3,1,20,0
118,5,5,3,3,5,5,5,3,3,3,3,5,3,3,5,3,5,5,3,3,3,1,5,3,5,3,2,3,3,5,10,20
119,7,6,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1,5,5,5,5,5,2,1
120,7,6,1,2,7,6,6,1,2,7,1,5,4,4,4,4,4,4,1,5,4,1,1,5,1,5,5,1,5,4,10,0
121,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,1,4,4,4,4,4,4,1,4,4,4,4,4,0,0
122,2,3,6,6,3,5,5,6,5,6,3,4,3,3,2,4,4,3,1,5,4,2,3,2,1,3,3,1,4,4,10,0
123,7,7,3,3,7,7,7,3,3,3,1,3,3,3,3,4,2,2,3,5,4,1,4,1,2,4,1,2,3,3,0,0
124,6,6,2,2,6,6,6,2,2,2,1,4,3,3,4,3,3,1,4,4,4,1,4,3,1,3,1,2,4,4,10,20
125,6,6,3,3,6,6,6,3,3,3,1,3,3,4,4,4,5,5,3,3,3,2,3,2,4,4,4,2,4,4,10,2
126,7,7,2,2,7,7,7,5,4,4,1,3,3,3,3,1,1,1,1,1,3,1,3,1,3,3,1,1,1,1,10,0
127,6,4,3,4,3,5,6,5,4,3,1,3,1,3,3,3,3,1,3,3,4,1,3,1,1,3,4,1,2,4,20,0
128,4,3,5,6,6,6,6,4,5,5,1,3,2,3,2,5,1,1,1,3,3,1,1,1,1,1,3,1,1,1,5,0
129,5,6,2,3,7,6,6,2,3,3,3,4,4,4,4,4,4,1,3,4,4,1,2,4,3,4,4,3,4,4,0,11
130,6,6,3,3,6,6,6,4,3,3,1,3,2,4,3,5,4,3,2,4,3,1,3,3,3,3,2,2,4,2,0,10
131,3,5,5,6,4,3,5,5,4,4,2,2,2,2,2,2,2,1,1,2,1,2,2,1,1,2,1,2,1,2,0,11
132,6,6,3,3,6,6,6,2,2,3,1,3,3,3,3,3,3,3,3,4,3,1,2,2,1,3,3,1,3,2,10,5
133,7,7,2,2,7,7,7,1,2,2,1,4,3,5,1,3,2,1,3,4,3,1,1,2,3,3,3,2,5,3,15,10
134,3,6,5,5,6,6,5,4,5,3,1,3,4,3,4,4,1,1,3,4,4,1,2,1,1,4,1,1,1,4,10,0
135,1,1,7,7,2,4,1,7,5,5,1,3,4,1,2,4,4,1,1,4,3,1,3,1,1,3,1,1,3,3,10,0
136,5,7,3,4,7,6,6,2,2,2,1,3,4,2,3,4,1,1,3,4,4,1,3,3,1,3,3,3,3,4,0,0
137,5,5,4,4,5,5,5,4,5,5,4,3,3,3,1,3,4,1,1,4,5,3,3,3,1,1,1,3,1,4,0,0
138,7,7,1,2,7,7,7,2,1,2,3,4,4,5,3,5,3,1,3,5,5,3,4,3,3,4,3,3,2,3,10,5
139,7,7,5,6,6,7,6,7,7,6,4,4,4,5,3,4,5,5,4,5,4,4,5,4,5,4,5,3,5,5,0,0
140,7,7,2,1,7,7,6,2,1,1,4,4,4,5,5,4,3,1,5,5,5,4,4,4,4,4,5,5,5,4,15,20
141,6,6,2,2,6,6,6,2,2,2,2,4,3,3,3,4,3,2,2,4,3,3,3,3,2,3,4,2,3,3,10,5
142,7,7,1,1,7,7,7,1,1,1,3,4,4,5,3,5,4,2,4,5,4,2,3,3,3,4,4,1,4,2,0,10
143,5,5,4,5,5,6,6,3,5,5,3,4,3,3,3,3,4,1,3,4,5,3,3,3,3,3,4,3,4,3,20,20
144,7,7,1,1,7,7,7,1,1,1,1,3,3,3,3,3,1,1,3,4,4,1,3,2,1,3,2,1,3,3,0,0
145,6,7,6,2,5,6,5,4,2,2,2,3,3,4,3,2,3,1,4,3,4,3,4,3,3,2,1,1,1,1,5,20
146,6,5,2,5,6,5,5,6,5,6,1,3,3,3,4,3,3,4,3,3,3,1,1,1,3,2,4,3,3,3,20,2
147,7,7,3,3,7,7,7,2,2,2,3,4,3,4,4,4,3,1,3,3,5,2,2,1,3,3,4,3,4,3,10,3
148,2,6,4,5,5,4,3,5,5,4,1,3,3,3,3,2,1,2,2,2,4,1,1,1,2,1,1,1,3,1,20,0
149,5,5,5,2,5,5,5,2,2,2,1,3,4,3,3,4,3,1,2,4,3,1,2,1,3,1,1,1,4,3,4,2
150,5,5,3,3,5,5,5,2,3,2,2,4,3,3,3,5,3,4,4,4,4,3,3,2,2,2,2,2,3,3,10,10
